# Angle of attack (°),Mach number (?),Drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?)
18.925,1.6043,0.3007,4.7318,0.76058,-1.02E-05,0,0
19.054,1.6018,0.30099,4.7934,0.82569,3.76E-04,0,0
19.156,1.5994,0.30126,4.8441,0.88967,1.42E-04,0,0
19.233,1.5971,0.30151,4.8876,0.96418,3.97E-04,0,0
19.29,1.595,0.30175,4.9216,1.0298,-4.29E-04,0,0
19.329,1.593,0.30197,4.9479,1.0899,-1.84E-04,0,0
19.354,1.5911,0.30219,4.9674,1.1437,2.02E-04,0,0
19.365,1.5893,0.30239,4.9809,1.1931,2.38E-04,0,0
19.365,1.5876,0.30259,4.989,1.2367,4.48E-04,0,0
19.354,1.5859,0.30278,4.9922,1.2757,2.75E-05,0,0
19.333,1.5843,0.30296,4.9909,1.3106,-1.86E-04,0,0
19.302,1.5827,0.30314,4.9852,1.3418,9.38E-05,0,0
19.262,1.5811,0.30332,4.9752,1.3709,-1.83E-05,0,0
19.212,1.5795,0.3035,4.9607,1.3955,3.95E-04,0,0
19.152,1.578,0.30367,4.9419,1.4159,-1.41E-04,0,0
19.082,1.5764,0.30385,4.9186,1.4335,-3.37E-04,0,0
19.002,1.5749,0.30402,4.8909,1.4475,1.07E-04,0,0
18.913,1.5734,0.30419,4.8589,1.4576,-1.44E-04,0,0
18.814,1.572,0.30436,4.8227,1.464,-3.58E-04,0,0
18.705,1.5705,0.30452,4.7824,1.467,-1.68E-04,0,0
18.586,1.5691,0.30469,4.7379,1.4661,-3.98E-04,0,0
18.459,1.5677,0.30485,4.6894,1.4612,-2.63E-04,0,0
18.322,1.5664,0.305,4.637,1.4533,2.91E-04,0,0
18.177,1.565,0.30515,4.581,1.4415,-3.69E-04,0,0
18.022,1.5637,0.3053,4.5214,1.4269,-4.00E-04,0,0
17.859,1.5625,0.30545,4.4584,1.4084,-1.77E-04,0,0
17.689,1.5613,0.30559,4.3922,1.3871,3.91E-04,0,0
17.51,1.5601,0.30572,4.323,1.362,4.37E-04,0,0
17.323,1.5589,0.30585,4.2509,1.334,3.61E-04,0,0
17.128,1.5578,0.30598,4.1756,1.3035,-3.05E-04,0,0
16.92,1.5567,0.30611,4.0958,1.2689,-1.22E-04,0,0
16.699,1.5556,0.30624,4.0114,1.2299,4.28E-04,0,0
16.462,1.5545,0.30636,3.9218,1.1885,2.84E-04,0,0
